# Componentwise physical Kelvin-Voigt MMS errors
# generated_utc=2026-08-01T15:55:26.463
# julia_version=1.11.6
# trixi_commit=b5b1747b7a9f0a0fc34452d4222d35b0a26ac943
# trixi_worktree=clean
# julia_threads=1
# command=degree-split clean convergence campaign assembled without altering numerical rows
# elixir=/home/sundriyal/Projects/Trixi-damped-clean/examples/damped_intrinsic_beam/elixir_mms_rich_physical.jl
# rich_mms_lambda=2.0
# rich_mms_profile=exp1
# polydegs=1,2,3
# refinement_levels=2,3,4,5,6,7
# sigmas=1.0
# auxiliary_fluxes=alternating,br1
# rock4_abstol_reltol=1.0e-12
polydeg,refinement_level,ncells,h,hyperbolic_flux,auxiliary_flux,component_index,block,component,l2_error,l2_eoc,linf_error,linf_eoc
1,3,8,1.2500000000000000e-01,upwind,br1,8,u2,f2,4.9058906006808116e-02,1.57548080,1.1640265833944063e-01,1.31573851
1,3,8,1.2500000000000000e-01,upwind,br1,9,u2,f3,2.3949437090358971e-02,1.78701456,7.8608129454805331e-02,1.51296106
1,3,8,1.2500000000000000e-01,upwind,br1,10,u2,m1,5.1066391920838883e-03,1.15999002,1.1917397115147832e-02,0.91935876
1,3,8,1.2500000000000000e-01,upwind,br1,11,u2,m2,8.8564804336701067e-03,1.16889739,3.3747892799632861e-02,0.86959870
1,3,8,1.2500000000000000e-01,upwind,br1,12,u2,m3,1.0541985486086333e-02,1.55575362,2.9752618825506283e-02,1.45219965
1,4,16,6.2500000000000000e-02,upwind,br1,1,u1,v1,6.4564480987671603e-03,2.33707611,2.2446156114842353e-02,1.96916274
1,4,16,6.2500000000000000e-02,upwind,br1,2,u1,v2,6.4127244519560887e-03,1.93082779,1.3558546810969574e-02,1.89068245
1,4,16,6.2500000000000000e-02,upwind,br1,3,u1,v3,1.0833698718422279e-02,2.10385111,4.8402459119031960e-02,1.83024388
1,4,16,6.2500000000000000e-02,upwind,br1,4,u1,omega1,6.0547683699155499e-03,1.98853083,1.8280783664931022e-02,1.68440145
1,4,16,6.2500000000000000e-02,upwind,br1,5,u1,omega2,3.6719032921573354e-03,1.58741486,1.0529876529311366e-02,1.78016041
1,4,16,6.2500000000000000e-02,upwind,br1,6,u1,omega3,4.3993516211960661e-03,2.12047486,2.7068343736194045e-02,1.83544339
1,4,16,6.2500000000000000e-02,upwind,br1,7,u2,f1,1.2752922177149368e-02,1.84988580,2.6108861576140896e-02,1.67438267
1,4,16,6.2500000000000000e-02,upwind,br1,8,u2,f2,1.4081618258655766e-02,1.80070192,3.4461776312254333e-02,1.75605503
1,4,16,6.2500000000000000e-02,upwind,br1,9,u2,f3,6.4048523627093928e-03,1.90275453,2.2821752746484236e-02,1.78426892
1,4,16,6.2500000000000000e-02,upwind,br1,10,u2,m1,2.0285713851064171e-03,1.33191006,5.0623305672351515e-03,1.23519555
1,4,16,6.2500000000000000e-02,upwind,br1,11,u2,m2,2.9871147956214775e-03,1.56798080,1.3102274918031620e-02,1.36498010
1,4,16,6.2500000000000000e-02,upwind,br1,12,u2,m3,2.9803169212281730e-03,1.82260895,8.5252220099966136e-03,1.80320735
1,5,32,3.1250000000000000e-02,upwind,br1,1,u1,v1,1.3623632745333872e-03,2.24462926,5.1115959132985722e-03,2.13462271
1,5,32,3.1250000000000000e-02,upwind,br1,2,u1,v2,1.7452209384705370e-03,1.87752773,3.4066734930640052e-03,1.99276697
1,5,32,3.1250000000000000e-02,upwind,br1,3,u1,v3,2.3388287221152242e-03,2.21166776,1.0309895280913750e-02,2.23105067
1,5,32,3.1250000000000000e-02,upwind,br1,4,u1,omega1,1.1968537955955752e-03,2.33882484,4.7502511059347441e-03,1.94425223
1,5,32,3.1250000000000000e-02,upwind,br1,5,u1,omega2,1.0512549691584531e-03,1.80441544,3.6749134574387554e-03,1.51870634
1,5,32,3.1250000000000000e-02,upwind,br1,6,u1,omega3,9.9814613035278878e-04,2.13996797,5.5824172745424505e-03,2.27764474
1,5,32,3.1250000000000000e-02,upwind,br1,7,u2,f1,3.6650123798088732e-03,1.79893788,8.0184297786480840e-03,1.70314790
1,5,32,3.1250000000000000e-02,upwind,br1,8,u2,f2,3.5595762581416370e-03,1.98403572,9.5381609605684758e-03,1.85321403
1,5,32,3.1250000000000000e-02,upwind,br1,9,u2,f3,1.5236823020489457e-03,2.07160319,4.8029196658205819e-03,2.24842601
1,5,32,3.1250000000000000e-02,upwind,br1,10,u2,m1,7.0859250626461581e-04,1.51743596,2.7843182271746203e-03,0.86247761
1,5,32,3.1250000000000000e-02,upwind,br1,11,u2,m2,7.8563912204069589e-04,1.92681400,3.5079101556171333e-03,1.90113362
1,5,32,3.1250000000000000e-02,upwind,br1,12,u2,m3,7.5623510251672228e-04,1.97855903,2.3312431058677419e-03,1.87063795
1,6,64,1.5625000000000000e-02,upwind,br1,1,u1,v1,3.9106327102604051e-04,1.80063750,1.5434051844458452e-03,1.72765693
1,6,64,1.5625000000000000e-02,upwind,br1,2,u1,v2,4.5270511570634031e-04,1.94676617,8.7825780246575391e-04,1.95564729
1,6,64,1.5625000000000000e-02,upwind,br1,3,u1,v3,5.1255230629236310e-04,2.19001507,1.8516166157631631e-03,2.47717236
1,6,64,1.5625000000000000e-02,upwind,br1,4,u1,omega1,2.2077672078397740e-04,2.43858696,9.2415429349568257e-04,2.36179813
1,6,64,1.5625000000000000e-02,upwind,br1,5,u1,omega2,2.5102189390070967e-04,2.06622751,1.0280178199950640e-03,1.83784500
1,6,64,1.5625000000000000e-02,upwind,br1,6,u1,omega3,2.3142015079745035e-04,2.10873655,1.0921290376586512e-03,2.35374664
1,6,64,1.5625000000000000e-02,upwind,br1,7,u2,f1,1.0253361545557455e-03,1.83772110,2.3597100920120795e-03,1.76471012
1,6,64,1.5625000000000000e-02,upwind,br1,8,u2,f2,8.5029480700149962e-04,2.06567048,2.3391341589364956e-03,2.02773652
1,6,64,1.5625000000000000e-02,upwind,br1,9,u2,f3,3.6414011751855407e-04,2.06499653,9.8705838887536146e-04,2.28270434
1,6,64,1.5625000000000000e-02,upwind,br1,10,u2,m1,2.0889473694169524e-04,1.76218006,8.6053654779849609e-04,1.69401574
1,6,64,1.5625000000000000e-02,upwind,br1,11,u2,m2,1.9381151873239710e-04,2.01921246,8.0734100992796431e-04,2.11936172
1,6,64,1.5625000000000000e-02,upwind,br1,12,u2,m3,1.8781639212526365e-04,2.00951183,5.3541597784489969e-04,2.12236736
1,7,128,7.8125000000000000e-03,upwind,br1,1,u1,v1,1.1172403756480450e-04,1.80746243,4.0077284940309710e-04,1.94526018
1,7,128,7.8125000000000000e-03,upwind,br1,2,u1,v2,1.1276556662283974e-04,2.00524501,2.2585449504575195e-04,1.95925086
1,7,128,7.8125000000000000e-03,upwind,br1,3,u1,v3,1.1826943854152142e-04,2.11562192,3.5409624412174878e-04,2.38657197
1,7,128,7.8125000000000000e-03,upwind,br1,4,u1,omega1,4.6441830776642627e-05,2.24909131,1.7488003626020543e-04,2.40176813
1,7,128,7.8125000000000000e-03,upwind,br1,5,u1,omega2,5.6287713471444737e-05,2.15692125,2.3972092463164785e-04,2.10043752
1,7,128,7.8125000000000000e-03,upwind,br1,6,u1,omega3,5.4121564606786480e-05,2.09623904,2.6086153347382179e-04,2.06578720
1,7,128,7.8125000000000000e-03,upwind,br1,7,u2,f1,2.7136360180439586e-04,1.91779784,6.5530971428984230e-04,1.84836080
1,7,128,7.8125000000000000e-03,upwind,br1,8,u2,f2,2.0281536829211159e-04,2.06779615,6.0921404527292111e-04,1.94095350
1,7,128,7.8125000000000000e-03,upwind,br1,9,u2,f3,9.4077669993485863e-05,1.95256946,2.6886695035255315e-04,1.87624300
1,7,128,7.8125000000000000e-03,upwind,br1,10,u2,m1,5.5365329570238392e-05,1.91572141,2.2518613749444860e-04,1.93411845
1,7,128,7.8125000000000000e-03,upwind,br1,11,u2,m2,4.7810967929653391e-05,2.01924080,1.7092564414911138e-04,2.23980931
