campaign,branch,acceleration_rms_g,normalized_frequency,frequency_hz,numerical_transverse,experimental_transverse,transverse_error,numerical_longitudinal,experimental_longitudinal,longitudinal_error,periodicity_error,total_energy_change,physical_root_work,material_dissipation,jump_dissipation,left_boundary_dissipation,right_boundary_dissipation,sat_data_work,net_boundary_dissipation,relative_ledger_residual
02g_upper,upper,0.2,1.010327377414903,9.219200667623618,0.6991631937676844,0.6823900822631431,0.016773111504541305,-0.3650205256478083,-0.3470244262806474,-0.0179960993671609,0.0014637050807453367,-0.001004508989116637,0.08388564055439858,0.08467623206515984,0.0010514200030438466,2.340259659013857,0.0003906794359870792,2.341487782889535,-0.0008374444396910263,2.3938973205137574e-08
02g_upper,upper,0.2,1.012382975732101,9.237957927697838,0.717202621936958,0.7001945300779768,0.017008091858981222,-0.3927410246878814,-0.37099557982322656,-0.02174544486465485,0.001999499796290549,0.002164771215202199,0.09500828643219368,0.09197780461899525,0.001263281373215976,2.3266147037514546,0.00045741446321771967,2.3274697371757567,-0.0003976189610841452,1.989114605707671e-08
02g_upper,upper,0.2,1.0144396101470867,9.256724642126787,0.7371303065839072,0.720818064920292,0.016312241663615223,-0.4265667175411505,-0.40119923328687646,-0.025367484254274042,0.001367313294317718,-0.0005557108650153797,0.10199546824472927,0.10105616810129037,0.001563945727901415,2.312741938951366,0.0005486007066717994,2.313359484266987,-6.894460894946164e-05,4.093488530270722e-09
02g_upper,upper,0.2,1.01649626907838,9.275491580266154,0.7496460338811766,0.7416690515834418,0.007976982297734803,-0.4499688703649636,-0.43282166722036347,-0.01714720314460011,0.0012334316851070337,0.0022495884844035974,0.1123971012767202,0.10755831229094483,0.001805849018978707,2.3001103110815846,0.0006187299688077629,2.2999456918861125,0.0007833491642799117,9.60938763580498e-10
02g_upper,upper,0.2,1.0185529140995069,9.294258391475756,0.7628974897617129,0.7622134060897804,0.0006840836719325116,-0.4770158528011097,-0.47713906816005863,0.00012321535894893598,0.0011143114771388074,0.0019792518343810794,0.12124193830168127,0.11527494444341325,0.0021256616598581742,2.287947098818793,0.0007080986739105771,2.2867931128561936,0.001862084636510275,1.7742605024218585e-09
02g_upper,upper,0.2,1.0206085018105635,9.313015554769322,0.7725170158988574,0.7864324007979029,-0.013915384899045535,-0.4986321339641224,-0.5271471819732766,0.028515048009154165,0.0011891822077263053,0.0007407179435843236,0.12806053401277007,0.12153071807600493,0.00241488683741613,2.276811909874094,0.0007858240972395474,2.2742234994559007,0.003374234515432839,9.723941089551064e-09
02g_lower,lower,0.2,1.1523902570027325,10.515519290297943,0.04946906901491153,0.047434065843485904,0.002035003171425624,-0.0014317220923861784,-0.0030986321371184516,0.0016669100447322732,0.00010804725974238039,-5.645536618609226e-06,0.0003321531384464796,0.00034423559535090803,1.3519707013356206e-08,1.579161172929083,1.0568872744539941e-08,1.579167639003099,-6.455505143332374e-06,3.206795392212177e-09
02g_lower,lower,0.2,1.1262132323780092,10.276654890211967,0.060553651455943824,0.05567351918099542,0.004880132274948407,-0.002143916287799752,-0.003640458162151774,0.0014965418743520219,0.000179839099375953,2.21237979274036e-05,0.0005182465509887815,0.0005036084328361411,2.9036630863437496e-08,1.6918544810474085,2.133153335366705e-08,1.6918620055631688,-7.503184226820281e-06,6.8141771053374905e-09
02g_lower,lower,0.2,1.1000341144845291,10.037771389124522,0.07705492465882027,0.06519889876193141,0.011856025896888861,-0.003470961900030489,-0.0038508586285302517,0.0003798967284997625,9.320038740472103e-05,-1.4567713551905115e-05,0.0007768874430425604,0.0008000361258698469,7.408434678293798e-08,1.8155412294156406,5.077336899128927e-08,1.815549936186642,-8.655997632445178e-06,5.197317026032227e-10
02g_lower,lower,0.2,1.073856032827939,9.798897343661105,0.10515716656155596,0.08447221352148888,0.02068495304006708,-0.006469972873487606,-0.005102113865967578,-0.001367859007520028,0.0001097114393051879,-1.4060027654083651e-05,0.0014382386819409426,0.0014610585359377819,2.5168226028658564e-07,1.9515804575252638,1.5946356856621333e-07,1.9515896319263883,-9.014937556006686e-06,1.7556985600926927e-09
02g_lower,lower,0.2,1.0633862646955452,9.70336108926107,0.12328768312820425,0.09882952241217298,0.02445816071603127,-0.008902925468148526,-0.006528650855406411,-0.002374274612742115,0.00012597481029313212,-1.4550919772426951e-06,0.0019838830260331002,0.0019926688509488088,4.72752092781715e-07,2.009796424505216,2.891568585173354e-07,2.009804523208691,-7.809546616499574e-06,3.013031127447355e-09
02g_lower,lower,0.2,1.052913332074158,9.60779595901377,0.14809281662495427,0.10864669711007442,0.03944611951487985,-0.012872192186497933,-0.007304341793050048,-0.005567850393447885,0.00013945660539158022,1.046778247704161e-05,0.002863363809436241,0.0028556927730238636,9.816807737269439e-07,2.0703747410002453,5.785862638429437e-07,2.070379100127219,-3.7805407098190358e-06,1.019596760627141e-09
02g_lower,lower,0.2,1.047678987269137,9.56003275255242,0.1637519019095438,0.12171812921413139,0.04203377269541242,-0.01576334926325451,-0.00924156179665932,-0.006521787466595191,0.00018063722159471912,8.907690769943688e-06,0.003495384259152944,0.003484517779528056,1.4702671939979059e-06,2.101569555914768,8.502045059525777e-07,2.101569920986816,4.851324577614946e-07,1.6100228016261761e-09
02g_lower,lower,0.2,1.0424425596623985,9.512250540600956,0.18472984027901243,0.13132758535419323,0.053402254924819204,-0.020110567677593005,-0.010005559488672487,-0.010105008188920519,9.285165304651066e-05,2.5990702123612763e-05,0.004468432012748263,0.004431376870430296,2.3943569012039568e-06,2.133413860134012,1.3545740093980568e-06,2.1334065469207757,8.667787245730807e-06,1.0739857919060158e-09
02g_lower,lower,0.2,1.041395274940669,9.50269410550715,0.18940773677534212,0.13905273743385144,0.05035499934149068,-0.021154315444805727,-0.011069683818535824,-0.010084631626269902,9.815873007845699e-05,-3.742432421316444e-05,0.0046357875479295435,0.00465959308531003,2.651055568404876e-06,2.1398609294126336,1.4932189058998004e-06,2.1398514580912504,1.0964540289037927e-05,1.4879639918757103e-09
02g_lower,lower,0.2,1.03930281611926,9.483600494669178,0.19958775990910524,0.15442890585073935,0.045158854058365894,-0.023521864828363714,-0.012932807622333073,-0.010589057206030641,9.239368247859758e-05,3.756871052962296e-05,0.005226432945987008,0.005169220262674623,3.2722840264884677e-06,2.1528214483762658,1.8263024266195725e-06,2.152806906391366,1.6368287326429254e-05,1.5761711102796095e-09
02g_lower,lower,0.2,1.0372060864661727,9.464467912647073,0.210738200553533,0.15521027382581332,0.055527926727719695,-0.026265929886640227,-0.013256320751444185,-0.013009609135196042,9.562402634474831e-05,2.599147774484667e-05,0.005817309031347856,0.005763882561582851,4.08089007120651e-06,2.1659163154613448,2.256242908502278e-06,2.1658952193569267,2.3352347326532907e-05,8.079442589407369e-10
02g_lower,lower,0.2,1.0351125564245272,9.445364526963303,0.2235746789801717,0.16535880908026837,0.05821586989990332,-0.029622253424907985,-0.014866090899913368,-0.014756162524994617,0.00010404202364605597,-2.6612409785076174e-05,0.006504614013805215,0.0064932142762805884,5.196119211075952e-06,2.1791016723508774,2.8437442408760124e-06,2.179071705296166,3.281079895245398e-05,2.3925418408813907e-09
