# Componentwise numerical Kelvin-Voigt resultant errors
# r_tau is reconstructed from Trixi's discrete auxiliary gradient
# generated_utc=2026-08-01T15:55:26.622
# julia_version=1.11.6
# trixi_commit=b5b1747b7a9f0a0fc34452d4222d35b0a26ac943
# trixi_worktree=clean
# julia_threads=1
# command=degree-split clean convergence campaign assembled without altering numerical rows
# elixir=/home/sundriyal/Projects/Trixi-damped-clean/examples/damped_intrinsic_beam/elixir_mms_rich_physical.jl
# rich_mms_lambda=2.0
# rich_mms_profile=exp1
# polydegs=1,2,3
# refinement_levels=2,3,4,5,6,7
# sigmas=1.0
# auxiliary_fluxes=alternating,br1
# rock4_abstol_reltol=1.0e-12
polydeg,refinement_level,ncells,h,hyperbolic_flux,auxiliary_flux,component_index,component,l2_error,l2_eoc,linf_error,linf_eoc
2,6,64,1.5625000000000000e-02,upwind,alternating,2,r_tau_f2,9.1188900970908320e-07,2.86416983,4.0181898756097567e-06,2.72333794
2,6,64,1.5625000000000000e-02,upwind,alternating,3,r_tau_f3,3.5799792006886328e-07,2.78552622,1.5905481280248379e-06,2.88484874
2,6,64,1.5625000000000000e-02,upwind,alternating,4,r_tau_m1,1.7390531570945158e-07,1.92783858,6.7717162931246744e-07,1.36060741
2,6,64,1.5625000000000000e-02,upwind,alternating,5,r_tau_m2,2.6727809997631943e-07,3.00751168,1.2540230262814145e-06,2.88359107
2,6,64,1.5625000000000000e-02,upwind,alternating,6,r_tau_m3,1.3732326746477985e-07,2.21871848,5.4790092376966193e-07,2.43699416
2,7,128,7.8125000000000000e-03,upwind,alternating,1,r_tau_f1,1.4701624948385042e-07,2.72188728,6.6756700692338633e-07,2.55734980
2,7,128,7.8125000000000000e-03,upwind,alternating,2,r_tau_f2,1.2000065058984814e-07,2.92581601,5.6930660846665759e-07,2.81926799
2,7,128,7.8125000000000000e-03,upwind,alternating,3,r_tau_f3,5.2607663720859209e-08,2.76660632,2.4459770411877635e-07,2.70104126
2,7,128,7.8125000000000000e-03,upwind,alternating,4,r_tau_m1,2.7086899358480050e-08,2.68263487,1.2680987236668440e-07,2.41685447
2,7,128,7.8125000000000000e-03,upwind,alternating,5,r_tau_m2,3.3089937270043286e-08,3.01387717,1.6018218444713295e-07,2.96877823
2,7,128,7.8125000000000000e-03,upwind,alternating,6,r_tau_m3,2.4006140778923073e-08,2.51610069,1.0846503441241939e-07,2.33668500
2,2,4,2.5000000000000000e-01,upwind,br1,1,r_tau_f1,5.8201777175662323e-04,NaN,1.8048940584094453e-03,NaN
2,2,4,2.5000000000000000e-01,upwind,br1,2,r_tau_f2,7.9267378297656458e-04,NaN,2.6135132291360552e-03,NaN
2,2,4,2.5000000000000000e-01,upwind,br1,3,r_tau_f3,8.3917314835279340e-04,NaN,2.3957608899232014e-03,NaN
2,2,4,2.5000000000000000e-01,upwind,br1,4,r_tau_m1,4.0917563065799210e-04,NaN,1.2210875166111315e-03,NaN
2,2,4,2.5000000000000000e-01,upwind,br1,5,r_tau_m2,4.8888972333980987e-04,NaN,1.7665608147153372e-03,NaN
2,2,4,2.5000000000000000e-01,upwind,br1,6,r_tau_m3,4.0407153494149132e-04,NaN,1.8015818419915702e-03,NaN
2,3,8,1.2500000000000000e-01,upwind,br1,1,r_tau_f1,9.2133155290674546e-05,2.65927088,4.1903561113962318e-04,2.10676940
2,3,8,1.2500000000000000e-01,upwind,br1,2,r_tau_f2,1.3668111477020038e-04,2.53591334,9.5561523291498585e-04,1.45148871
2,3,8,1.2500000000000000e-01,upwind,br1,3,r_tau_f3,1.9784500465238160e-04,2.08459788,6.8684878933754356e-04,1.80241950
2,3,8,1.2500000000000000e-01,upwind,br1,4,r_tau_m1,7.5023130794979492e-05,2.44731285,2.1133577675681164e-04,2.53055768
2,3,8,1.2500000000000000e-01,upwind,br1,5,r_tau_m2,1.0323419846665291e-04,2.24358811,4.4227279069651571e-04,1.99793502
2,3,8,1.2500000000000000e-01,upwind,br1,6,r_tau_m3,6.8913731392668024e-05,2.55174734,4.4869778536642257e-04,2.00544822
2,4,16,6.2500000000000000e-02,upwind,br1,1,r_tau_f1,5.7890702058098893e-06,3.99231686,1.8030719812295315e-05,4.53854396
2,4,16,6.2500000000000000e-02,upwind,br1,2,r_tau_f2,1.8946601191149798e-05,2.85080295,1.7348951262413648e-04,2.46158140
2,4,16,6.2500000000000000e-02,upwind,br1,3,r_tau_f3,1.6727806000763559e-05,3.56405050,1.0782875004808345e-04,2.67125063
2,4,16,6.2500000000000000e-02,upwind,br1,4,r_tau_m1,1.0747054849867934e-05,2.80339412,4.3429564953942346e-05,2.28278761
2,4,16,6.2500000000000000e-02,upwind,br1,5,r_tau_m2,1.2543277274044563e-05,3.04093473,5.5140600258088424e-05,3.00374961
2,4,16,6.2500000000000000e-02,upwind,br1,6,r_tau_m3,5.4461138263732317e-06,3.66149243,5.0715339908843915e-05,3.14524997
2,5,32,3.1250000000000000e-02,upwind,br1,1,r_tau_f1,2.1696823298138381e-06,1.41584782,1.4485702748784357e-05,0.31582732
2,5,32,3.1250000000000000e-02,upwind,br1,2,r_tau_f2,2.5920497769290779e-06,2.86977374,2.8816816241394871e-05,2.58986560
2,5,32,3.1250000000000000e-02,upwind,br1,3,r_tau_f3,1.0581030829689769e-06,3.98269615,1.3497888224744958e-05,2.99793627
2,5,32,3.1250000000000000e-02,upwind,br1,4,r_tau_m1,7.1817502904121324e-07,3.90346205,4.4078623112342452e-06,3.30052644
2,5,32,3.1250000000000000e-02,upwind,br1,5,r_tau_m2,1.3775739569584770e-06,3.18671266,7.9438043226742749e-06,2.79521298
